,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,ID,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
5624,75,86,91,86,70,76,56,64,68,46,38,11,10,8,14,15,44,213480,76,80,71,44,51,50,66,77,67,42,62,68,90,67,56,69,40
5625,64,75,50,76,70,55,49,49,56,58,40,13,7,5,8,15,58,236264,69,57,72,52,73,64,47,61,71,61,67,65,73,68,68,61,22
5626,56,67,56,57,60,69,64,33,59,31,40,13,12,13,12,14,70,200425,72,65,64,55,69,37,52,67,66,60,69,67,72,69,78,65,49
5627,83,50,71,72,67,70,67,75,73,74,63,11,10,10,9,11,47,218345,68,52,69,73,53,59,73,66,67,74,58,75,68,54,64,61,51
5628,65,66,50,54,54,63,23,34,53,29,22,7,13,16,10,7,71,224489,67,72,53,29,68,33,28,65,61,45,67,62,70,74,79,36,31
5629,76,39,74,79,76,63,71,61,75,44,77,5,12,6,12,13,44,229865,44,57,59,70,35,47,61,55,70,65,34,73,53,39,51,59,55
5630,65,68,58,58,66,70,36,32,52,54,36,7,12,9,14,13,62,190697,73,75,67,35,67,51,40,64,62,68,65,69,63,71,81,46,34
5631,70,49,72,53,73,60,70,55,69,47,63,13,9,15,8,11,52,191209,34,70,63,65,36,59,69,67,73,66,35,76,75,43,65,50,46
5632,62,74,70,73,66,73,61,65,58,55,75,7,8,11,11,8,64,163050,33,55,59,64,24,74,75,73,65,68,30,59,68,34,71,65,72
5633,30,26,46,46,22,36,11,13,11,18,13,70,67,61,68,71,14,190698,21,71,24,13,15,15,15,73,23,12,13,30,32,12,59,43,15
5634,77,58,73,62,72,59,66,64,70,65,68,9,11,7,16,13,48,206571,17,68,65,70,27,62,66,58,67,72,19,83,67,23,65,69,48
5635,59,62,57,63,58,66,45,34,54,45,38,13,12,12,14,14,76,209643,65,68,60,52,72,61,39,53,58,63,69,62,67,73,80,41,35
5636,63,62,51,56,59,61,33,34,32,37,22,10,7,9,11,12,70,234731,68,70,55,27,67,41,32,54,62,41,66,66,73,71,89,35,29
5637,56,68,55,57,58,67,45,25,44,27,24,7,12,9,8,14,73,235499,63,76,64,27,66,34,36,62,69,34,60,64,69,71,90,33,23
5638,65,78,62,70,68,67,46,54,51,24,71,4,4,4,4,4,75,175851,22,67,40,54,15,53,72,71,64,75,17,63,79,18,80,42,56
5639,80,33,80,68,65,55,72,56,69,57,64,7,8,9,14,7,53,217836,30,36,68,67,49,50,66,62,69,49,40,78,62,36,57,74,51
5640,55,67,64,74,65,77,57,67,63,67,72,14,12,9,8,11,75,172780,25,71,63,66,24,77,75,65,62,75,21,56,59,20,75,64,65
5641,74,64,66,75,60,74,63,67,59,58,72,9,9,9,12,12,65,45548,25,82,51,62,29,57,80,74,62,67,25,71,70,27,63,65,70
5642,78,78,74,76,70,62,69,66,71,53,64,12,16,8,12,7,66,185068,46,82,65,63,35,65,69,68,69,77,30,80,82,38,72,66,53
5643,76,67,71,67,59,78,38,55,51,40,44,7,7,7,9,12,68,230382,76,85,56,46,67,49,50,73,66,61,66,68,64,66,74,64,52
5644,45,73,48,39,45,62,29,29,41,25,24,14,10,14,11,11,68,216815,71,64,35,30,70,35,23,65,50,43,66,53,74,73,90,30,20
5645,67,72,34,43,61,64,62,57,48,62,29,8,8,9,14,7,71,192751,67,39,50,35,70,45,45,71,57,44,68,59,68,69,89,50,39
5646,55,71,55,56,60,56,51,50,55,35,25,10,15,8,15,11,69,212208,64,66,64,37,70,47,55,64,61,47,67,65,71,73,75,54,31
5647,50,63,75,73,74,77,71,79,68,75,69,10,9,12,8,8,48,159984,21,79,65,75,20,59,75,66,74,71,21,63,69,25,56,69,66
5648,77,43,86,81,66,67,76,71,71,70,53,6,7,13,6,9,46,173040,52,34,66,76,33,66,60,57,72,70,21,77,91,30,50,63,54
5649,64,68,59,69,66,80,67,55,58,44,74,9,16,6,9,16,72,201714,40,83,59,59,37,50,69,58,69,69,36,66,54,29,92,67,72
5650,83,44,77,64,69,60,48,48,71,41,68,7,7,7,13,9,63,212210,15,76,60,67,16,63,63,65,61,75,13,91,71,12,67,61,71
5651,79,44,78,78,74,57,72,65,73,49,65,6,7,12,14,12,56,212466,37,62,56,75,30,58,69,68,62,72,32,77,70,33,64,61,59
5652,74,54,80,71,75,64,61,57,75,53,66,9,7,14,7,14,59,213490,41,75,66,65,35,60,64,62,67,64,40,75,64,44,68,68,56
5653,74,51,67,68,69,67,73,72,70,53,66,9,8,7,12,12,56,213746,31,51,68,63,37,60,68,68,71,68,32,74,64,42,61,68,58
5654,56,49,45,61,51,60,57,51,44,55,52,9,15,7,9,11,76,230386,55,62,61,44,74,62,31,67,62,53,74,59,59,72,90,44,49
5655,47,23,68,34,28,37,11,14,10,12,5,66,71,70,70,69,13,234994,11,67,34,7,6,15,8,68,40,21,14,52,38,14,66,33,6
5656,76,51,72,66,70,67,67,65,70,44,67,12,5,13,5,8,54,236786,27,66,64,67,28,60,72,64,68,73,34,78,66,31,64,69,63
5657,63,80,66,65,65,63,75,34,63,48,56,6,10,16,11,11,68,179698,67,80,60,70,74,56,61,63,63,70,74,63,66,73,66,65,49
5658,69,68,75,75,74,70,68,74,74,70,65,15,10,11,15,9,50,205555,47,58,70,73,48,66,68,65,73,74,47,69,80,42,57,71,66
5659,75,68,71,75,71,70,68,72,64,69,59,10,9,15,12,9,58,214515,65,70,67,64,65,69,58,72,68,67,66,77,79,66,70,67,52
5660,70,70,70,71,70,69,65,58,66,65,60,8,11,12,7,9,64,220659,64,74,67,70,46,40,68,67,69,77,61,75,85,67,69,67,50
5661,87,41,92,75,74,69,64,73,76,53,55,12,12,15,7,10,47,224243,55,62,64,52,40,59,62,66,68,65,40,87,76,44,39,70,55
5662,89,79,76,71,63,60,49,45,63,53,65,15,9,8,14,8,69,226035,28,78,51,60,25,71,67,64,64,77,19,89,76,26,78,55,61
5663,84,70,83,80,71,60,64,62,74,42,65,8,9,7,5,7,55,235507,26,70,53,66,23,58,68,61,66,71,21,80,71,20,54,65,56
5664,69,65,67,60,64,63,38,39,66,24,73,8,14,5,9,9,78,237555,23,76,47,61,15,66,68,64,58,68,20,74,73,25,71,62,58
5665,66,66,57,62,64,63,60,48,56,26,25,8,9,11,15,10,63,205556,68,74,61,30,72,44,59,60,64,44,70,65,65,72,80,22,37
5666,38,76,30,36,51,73,39,44,44,52,44,16,10,15,8,11,75,214004,73,56,48,45,71,57,42,72,51,68,59,49,47,66,84,41,63
5667,77,47,79,68,76,63,67,62,77,40,63,9,8,14,6,12,56,224756,57,49,62,54,60,44,71,60,67,56,55,73,61,66,57,68,38
5668,78,75,82,83,69,61,62,52,68,48,54,7,14,15,11,8,47,232692,65,72,70,62,56,40,59,73,70,60,61,78,87,60,61,68,45
5669,81,51,91,86,70,70,61,63,78,66,58,9,10,14,10,8,43,176628,36,53,53,59,22,60,66,59,75,59,31,81,75,34,33,64,61
5670,68,73,59,60,59,61,30,25,32,42,14,15,8,8,10,6,77,190196,66,91,59,19,68,39,44,66,54,44,60,75,79,70,80,44,13
5671,82,75,80,64,70,69,70,77,70,71,61,15,8,14,16,15,63,198133,65,71,70,69,61,76,61,63,71,81,65,84,84,67,77,65,71
5672,73,53,71,65,73,67,74,80,74,73,61,14,13,13,13,12,50,199413,30,61,62,71,30,76,59,63,67,76,30,77,80,34,71,61,62
5673,84,69,73,74,68,65,67,65,67,69,52,6,10,12,7,10,57,214005,65,70,63,74,70,70,43,71,65,75,66,83,77,66,69,62,46
5674,50,74,44,24,64,63,26,22,39,29,24,13,14,11,9,12,71,226805,69,70,58,20,72,38,29,67,64,32,57,52,59,65,86,26,26
5675,72,68,70,64,68,67,68,61,69,39,71,13,10,6,15,14,69,208374,29,74,63,67,17,69,66,65,68,72,19,74,64,33,80,63,56
5676,72,70,66,69,73,61,72,63,73,46,54,8,12,6,10,12,60,191990,70,45,66,62,70,61,60,64,68,61,72,71,63,71,63,61,36
5677,25,27,34,38,20,26,11,11,10,13,10,69,68,65,66,73,12,208375,14,66,16,12,9,18,11,67,22,23,11,38,35,13,77,48,9
5678,71,80,56,53,65,70,62,42,60,51,64,9,9,14,10,14,70,223223,70,68,65,67,59,52,74,67,69,80,64,67,92,68,84,72,66
5679,64,74,61,56,62,67,53,32,44,35,28,7,16,12,7,14,66,164855,72,73,60,61,67,35,36,62,53,65,66,65,68,66,90,56,54
5680,56,61,42,47,60,68,40,30,31,23,31,8,11,14,6,13,67,167159,72,71,62,40,70,36,34,71,64,45,69,57,76,70,78,46,16
5681,64,60,58,36,73,60,58,61,70,58,67,15,11,12,13,10,65,204280,34,63,54,63,34,73,67,63,66,74,26,69,69,33,82,58,69
5682,62,68,59,68,74,57,43,72,73,43,76,11,14,11,11,11,68,229624,28,61,41,69,23,71,65,62,62,66,18,62,50,19,73,57,64
5683,83,28,82,76,74,68,67,67,78,66,58,9,7,14,11,12,26,231416,23,69,63,68,12,45,61,66,65,66,23,78,58,21,39,63,61
5684,56,74,51,57,65,68,52,49,58,38,56,11,13,5,6,8,72,236792,68,57,68,68,67,45,54,68,69,71,67,58,78,71,72,62,51
5685,65,80,45,53,64,58,53,40,50,32,30,11,6,14,12,14,70,235257,66,74,39,26,65,39,31,69,54,42,65,52,67,72,78,33,33
5686,58,62,63,62,73,71,73,77,66,71,53,8,8,16,10,10,38,195065,64,60,77,72,35,74,67,65,74,71,46,60,74,51,65,73,66
5687,70,73,74,72,73,67,66,63,68,64,61,14,10,12,16,10,60,198138,55,73,69,69,60,66,68,69,71,71,60,65,80,67,77,69,68
5688,62,78,55,57,60,61,66,64,35,57,37,8,6,13,12,16,73,199674,70,63,69,33,66,67,51,64,64,44,66,58,70,67,85,63,29
5689,88,65,93,96,69,76,58,70,70,67,65,11,15,11,13,15,36,222970,22,82,66,70,27,62,63,62,68,68,32,75,76,35,35,69,63
5690,66,70,53,31,66,61,52,40,64,29,68,9,6,8,9,14,72,225530,22,76,38,66,23,61,63,63,65,80,20,76,48,21,93,65,67
5691,49,81,56,51,68,72,59,62,58,60,47,7,9,12,15,14,69,164858,75,31,70,64,73,42,62,74,72,70,69,54,82,72,77,67,38
5692,53,78,47,41,47,57,55,30,48,29,41,8,16,14,12,16,67,192250,72,69,64,34,69,37,23,54,60,56,65,51,75,69,85,45,25
5693,72,33,71,53,71,60,72,39,73,35,66,21,17,18,30,33,55,221179,63,58,65,61,67,49,62,59,70,50,65,70,72,68,62,65,47
5694,42,12,32,55,25,42,13,11,14,14,10,71,64,62,70,75,13,203004,26,60,32,14,14,19,14,65,36,23,19,44,35,13,68,36,9
5695,67,37,65,70,67,60,76,66,63,52,33,10,9,16,10,12,48,203516,67,49,71,52,60,49,65,72,74,65,66,71,74,72,44,68,51
5696,80,73,71,74,65,70,69,39,65,35,33,15,13,16,11,13,58,209660,67,75,58,32,65,55,55,64,68,47,66,77,81,69,73,47,24
5697,62,75,63,57,69,71,67,50,52,37,39,16,8,11,16,15,70,147196,69,53,64,62,67,49,53,62,69,72,73,74,75,71,74,51,49
5698,49,32,38,50,24,29,19,14,19,19,14,73,65,66,65,74,19,228860,15,71,45,12,20,23,11,69,21,24,16,39,44,17,63,40,12
5699,59,91,52,70,62,59,44,39,56,43,41,8,6,6,15,6,64,229628,65,64,68,38,69,47,42,54,66,50,70,60,82,71,87,59,33
5700,66,71,57,50,64,66,33,43,62,42,40,12,10,11,15,16,68,186876,67,73,67,45,66,50,37,63,66,64,65,69,75,69,81,46,30
5701,73,53,71,54,68,62,39,40,65,30,73,11,13,14,9,15,70,228093,21,64,43,68,29,62,65,56,60,70,18,75,57,28,84,54,63
5702,87,70,74,57,76,58,70,67,75,52,41,8,10,14,10,13,58,235005,64,57,63,42,65,49,65,59,65,61,65,85,72,67,70,62,34
5703,51,56,58,67,71,69,81,77,69,80,67,10,10,6,10,16,53,50429,39,56,73,76,22,82,64,59,71,72,25,56,31,41,60,77,50
5704,77,70,73,65,69,62,71,56,67,40,50,9,9,9,15,14,58,204030,70,74,68,72,69,41,64,67,69,75,68,76,72,67,63,63,47
5705,75,35,73,69,68,63,67,62,70,45,73,12,15,12,11,12,56,224510,13,85,55,74,16,59,74,68,66,74,19,72,58,15,59,57,67
5706,48,66,38,39,68,60,35,33,36,45,37,8,9,11,11,10,77,230398,74,42,53,42,65,51,28,75,48,57,73,44,52,68,83,39,43
5707,61,72,63,62,62,75,63,56,61,43,42,10,12,7,10,14,68,178430,74,76,61,51,71,41,61,70,65,65,72,71,62,75,74,53,44
5708,92,52,88,81,68,67,48,36,71,33,73,15,10,13,12,12,62,212223,28,67,40,53,12,66,70,64,58,64,12,92,76,11,68,62,56
5709,67,66,59,60,76,63,61,49,74,41,57,15,10,14,6,7,49,208384,69,73,67,62,55,53,70,64,73,81,69,65,74,70,71,61,43
5710,59,25,60,46,27,27,22,34,14,12,15,68,67,64,73,69,14,222464,24,65,34,12,13,24,16,57,32,33,12,55,45,17,58,35,16
5711,79,68,78,78,66+1,67,60,54,70+2,49,58,7,14,14,11,14,48,236288,67,78,66,67,65,46,60,69,68,70,62,82,90,64,58,67,55
5712,72,67,72,73,71,66,49,69,63,69,45,13,8,13,7,13,55,184320,63,66,73,61,49,73,63,67,71,65,55,70,72,59,70,69,42
5713,75,61,71,68,67,59,66,46,68,41,43,15,12,16,6,11,69,192001,62,91,62,44,67,52,32,64,65,62,66,75,74,68,70,39,43
5714,76,43,82,84,69,73,54,63,67,51,68,12,13,14,11,10,58,193537,21,75,43,63,20,77,72,70,68,65,13,71,70,18,58,68,74
5715,77,38,78,66,74,59,68,44,75,34,62,6,14,14,10,12,56,215810,27,60,52,66,22,52,67,58,65,69,23,78,47,25,62,58,52
5716,74,65,55,41,68,72,55,58,65,52,48,9,9,14,7,10,69,224258,63,58,66,53,65,49,52,66,68,64,68,75,80,69,78,64,41
5717,69,57,77,83,70,69,61,71,76,62,55,6,10,6,9,7,36,235522,61,57,69,64,37,59,63,62,71,67,55,63,61,59,62,68,57
5718,72,62,71,67,65,58,34,53,68,36,67,13,15,15,12,14,70,193794,31,75,45,57,13,70,65,60,55,79,18,74,60,19,83,52,65
5719,70,74,70,75,65,68,56,42,59,40,37,9,8,10,7,8,55,198147,74,74,61,42,72,33,54,67,53,58,72,72,69,72,64,60,47
5720,32,74,29,29,49,68,37,49,39,59,38,15,11,11,10,6,72,137987,71,33,57,61,70,57,30,59,56,74,67,38,37,75,80,49,39
5721,81,41,78,60,71,61,51,40,69,35,69,7,6,9,7,11,65,233731,24,67,40,57,18,54,71,63,59,63,15,76,67,20,59,59,74
5722,81,48,60,51,67,64,39,59,65,41,70,11,15,9,15,14,56,179971,38,59,41,62,27,42,66,69,50,71,29,84,70,32,90,46,49
5723,64,73,63,69,56,64,61,46,53,42,23,9,13,9,7,11,67,202756,66,70,56,32,68,55,47,65,62,45,64,64,71,74,74,53,32
5724,85,56,83,80,66,56,67,66,66,46,50,12,7,12,7,10,56,211204,64,53,64,53,61,59,55,63,67,71,69,80,72,70,65,47,45
5725,72,60,73,66,49,64,12,11,36,13,13,12,13,8,10,13,74,216068,67,87,39,13,72,20,19,57,46,22,68,68,72,72,75,15,12
5726,74,73,78,74,66,57,69,55,71,45,43,15,6,11,14,7,53,213253,69,70,57,65,66,56,62,64,61,66,67,78,82,68,64,64,40
5727,39,75,43,60,72,49,52,37,70,39,34,10,8,8,8,7,60,225285,70,67,65,36,68,56,37,57,74,65,64,40,63,66,82,51,31
5728,59,59,55,53,68,56,49,48,61,47,72,8,11,11,6,9,58,235781,66,57,70,73,63,39,70,71,70,65,59,59,57,58,42,70,49
5729,82,71,86,77,68,79,64,59,71,59,39,16,8,11,12,6,61,185349,68,83,64,54,64,49,62,68,69,62,66,87,80,70,64,59,49
5730,42,45,45,36,14,23,14,17,13,21,14,67,68,58,71,71,12,193030,21,72,21,12,12,15,12,67,23,14,13,35,36,12,73,50,12
5731,42,19,32,57,21,23,13,13,19,14,13,67,71,69,64,70,15,217095,22,55,32,12,11,25,19,64,26,24,19,42,44,15,66,65,25
5732,73,83,70,70,68,62,55,51,64,41,44,7,12,13,10,14,39,223495,65,59,62,62,74,43,52,53,64,58,75,74,73,77,72,62,44
5733,86,77,85,73,64,70,54,68,69,63,74,7,7,12,9,9,75,160007,42,83,58,62,40,70,76,72,59,48,53,74,67,42,54,65,47
5734,70,76,71,57,66,61,69,66,65,63,50,14,11,14,11,10,68,183815,64,83,63,60,66,61,60,68,65,66,68,70,77,67,68,60,51
5735,78,75,78,74,67,64,59,43,67,46,63,7,9,13,12,13,64,143112,34,64,58,63,34,68,69,71,62,71,33,91,67,36,62,67,60
5736,75,55,46,65,71,65,40,21,69,69,73,8,15,13,9,15,73,219912,16,60,40,67,31,75,74,70,65,77,29,72,69,33,48,70,71
5737,85,33,86,84,70,62,64,54,74,32,59,9,8,6,13,7,40,224520,19,54,62,60,19,52,59,59,68,53,17,84,61,20,55,64,36
5738,52,78,56,40,67,63,47,45,63,56,66,11,8,11,7,12,74,162056,48,84,41,62,42,67,69,66,59,75,20,60,78,30,84,68,67
5739,42,73,73,70,47,61,58,36,55,31,58,10,9,8,14,10,76,155657,67,91,55,50,69,54,61,71,52,61,65,59,85,67,72,44,56
5740,76,68,72,72,63,58,68,53,58,29,33,9,11,8,9,10,53,223241,68,76,62,64,63,26,62,62,63,52,66,77,83,68,63,63,34
5741,66,66,60,62,60,60,59,35,52,32,30,8,13,11,14,14,71,233225,68,79,63,45,65,45,55,60,63,58,65,71,77,71,70,35,36
5742,67,71,62,50,58,68,27,32,25,31,17,6,9,13,14,11,65,169737,70,71,49,41,73,49,38,63,61,59,67,62,69,71,68,55,40
5743,54,31,55,58,21,44,15,12,10,11,11,72,67,64,65,69,11,192009,15,66,35,10,13,21,10,65,49,24,12,57,37,11,78,40,11
5744,42,51,72,78,72,76,75,77,63,75,65,16,6,7,13,8,58,162314,54,59,74,71,51,80,63,69,72,72,56,44,52,59,52,74,71
5745,67,72,61,59,60,64,52,60,59,35,36,9,15,16,12,10,65,204043,65,65,50,43,69,49,52,70,64,63,64,75,76,69,74,54,44
5746,67,82,61,66,56,71,60,34,60,32,32,11,11,14,13,15,70,178187,79,80,67,43,63,44,35,64,58,72,70,69,68,62,70,56,32
5747,70,79,66,61,65,68,70,42,68,28,49,10,8,6,10,15,72,198156,62,74,67,48,65,50,45,62,66,61,71,70,74,67,71,53,48
5748,55,75,53,49,48,66,31,36,38,28,22,15,15,15,10,12,67,206604,65,74,36,37,71,41,25,64,48,48,68,55,60,72,81,32,26
5749,90,66,65,70,64,61,64,43,65,37,37,6,10,8,14,8,60,220172,67,64,46,58,65,53,51,62,62,66,68,87,74,66,68,45,38
5750,64,75,69,67,64,67,68,72,63,74,58,12,7,8,8,12,53,220940,61,62,76,67,62,53,63,63,74,74,66,66,69,64,63,72,52
5751,75,57,79,79,69,52,64,60,72,52,69,14,6,12,13,15,58,236300,18,60,60,70,31,61,64,65,67,73,35,79,68,26,67,58,65
5752,69,76,62,59,68,64,78,73,61,71,51,9,8,8,7,10,63,183564,66,65,63,66,66,70,56,67,68,69,69,65,72,70,75,66,58
5753,74,59,69,46,67,72,57,62,66,59,67,7,11,10,9,11,68,214029,29,52,56,64,22,67,64,65,61,72,23,77,78,26,73,52,61
5754,69,47,67,67,65,65,35,49,69,36,75,13,14,14,15,12,76,225293,19,71,42,56,19,63,58,64,59,68,17,63,66,17,78,61,64
5755,40,37,45,52,15,32,12,16,16,12,11,75,66,65,64,72,20,233997,12,67,18,18,10,25,9,60,20,14,12,46,38,9,68,46,8
5756,64,68,69,67,69,71,45,47,66,53,44,9,7,13,8,16,55,187661,73,63,69,58,67,55,64,67,70,67,68,58,75,70,73,67,34
5757,79,68,90,92,74,61,60,68,78,65,66,8,8,9,9,9,33,212238,60,87,62,68,41,52,64,61,69,63,48,72,71,60,33,69,61
5758,87,52,77,81,71,62,63,69,74,40,59,16,12,12,13,10,56,225294,38,41,49,61,40,56,67,66,63,76,42,79,53,41,44,68,62
5759,64,52,73,73,73,65,73,73,74,71,65,13,16,11,11,13,59,230414,44,72,61,54,47,75,67,63,74,69,42,62,65,43,61,66,62
5760,76,76,67,65,68,64,70,46,68,54,53,7,14,9,12,7,64,188430,65,79,66,61,64,51,68,63,67,64,70,70,79,67,74,64,33
5761,61,67,64,48,68,53,56,60,65,55,73,7,7,6,8,7,67,200207,21,56,58,63,15,73,70,52,66,72,17,64,69,18,86,53,64
5762,50,83,32,42,40,61,30,25,43,23,23,9,14,14,9,11,76,214031,73,35,46,19,66,39,24,62,47,37,61,48,62,71,90,35,30
5763,30,34,35,30,24,41,12,13,12,15,11,68,64,65,69,68,11,161807,14,54,24,12,13,32,12,72,29,23,12,24,30,18,44,10,12
5764,63,35,62,68,67,62,47,50,67,57,75,9,11,9,11,13,70,233231,16,64,41,75,15,70,70,64,65,73,16,62,58,22,50,52,65
5765,74,73,62,56,68,59,72,64,66,74,37,14,10,14,9,9,67,202512,60,65,65,58,62,44,49,66,68,76,65,77,77,69,82,52,50
5766,77,38,75,70,74,72,61,60,76,57,56,10,8,13,8,13,37,241168,30,68,66,63,34,37,62,58,69,61,32,75,58,38,46,68,56
5767,53,81,59,68,67,64,44,53,65,39,55,7,8,13,10,14,62,205073,64,66,67,63,62,63,55,67,68,67,66,41,81,70,76,65,39
5768,62,66,71,82,67,74,57,58,55,45,37,14,9,15,10,9,46,205585,66,72,72,41,63,50,49,63,74,47,64,60,78,65,61,65,34
5769,70,71,70,68,67,62,72,65,65,45,37,15,8,13,11,14,56,221969,69,65,67,64,66,42,61,67,68,68,68,71,62,68,52,48,55
5770,70,78,72,74,66,70,68,69,64,66,48,15,15,9,10,13,56,172561,70,63,68,61,67,30,61,69,66,73,65,72,76,66,68,53,59
5771,62,58,59,67,69,65,39,39,68,35,69,9,10,15,11,6,74,238609,23,69,38,62,23,59,69,59,65,74,26,62,70,17,71,58,71
5772,40,73,56,71,59,66,35,33,48,24,22,15,11,12,12,12,69,202002,69,78,52,34,68,46,50,54,65,56,66,69,56,72,68,49,22
5773,65,62,71,57,60,59,61,46,57,61,56,13,15,12,6,11,68,203026,67,56,61,50,69,45,50,63,65,51,68,74,72,70,78,48,44
5774,89,69,87,91,69,68,63,60,70,64,65,9,11,9,8,7,53,205330,55,62,66,69,60,60,60,65,69,78,53,88,76,61,76,61,60
5775,68,67,70,69,55,61,65,28,42,24,37,7,12,7,11,9,60,222226,66,80,49,38,70,35,49,63,60,26,70,66,66,73,77,39,30
5776,66,68,68,63,58,74,41,52,49,56,42,13,13,7,8,11,64,234002,66,71,72,60,62,49,55,67,72,75,68,64,73,70,72,64,61
5777,57,89,59,65,60,66,38,48,59,60,40,9,6,14,8,15,64,184338,70,58,59,59,68,40,36,63,59,71,70,60,65,70,69,50,26
5778,70,55,62,75,66,58,45,49,57,41,72,11,11,10,13,10,66,240659,23,67,34,61,24,68,70,62,60,74,23,74,65,26,73,57,51
5779,34,44,44,26,25,35,12,14,11,18,12,66,70,66,73,67,11,183315,24,62,22,12,14,15,15,63,23,20,12,37,26,11,72,34,13
5780,86,44,89,82,68,64,65,66,72,40,64,8,11,7,7,15,47,204820,25,70,53,62,32,55,65,60,64,65,33,82,69,35,54,64,58
5781,55,64,65,62,59,54,47,34,52,35,30,6,9,12,7,12,65,205588,63,82,55,31,71,42,25,69,59,36,74,52,66,73,67,46,26
5782,29,33,49,50,14,22,13,20,13,12,9,76,62,77,55,76,17,230164,8,64,11,15,11,18,11,66,16,33,17,33,22,18,38,48,29
5783,68,71,57,60,49,62,68,22,41,61,20,11,5,9,15,11,65,170516,70,56,57,50,71,36,39,67,62,66,72,65,64,70,71,31,29
5784,60,66,61,49,68,70,36,63,60,63,69,10,14,7,7,8,70,202517,29,72,54,70,31,60,70,68,65,73,32,60,70,33,79,61,65
5785,78,60,71,66,69,65,62,61,69,57,61,14,14,7,10,14,61,204821,44,58,64,62,46,44,67,62,67,64,39,77,70,41,74,66,64
5786,51,68,34,40,45,59,24,27,47,28,20,9,10,15,10,13,68,214037,73,62,50,17,70,32,22,65,61,33,66,55,64,67,77,36,28
5787,42,38,44,45,23,41,18,12,12,15,11,67,67,60,66,74,22,169493,21,65,29,13,20,22,11,70,33,19,14,39,33,12,64,37,13
5788,78,28,75,69,72,69,39,49,66,38,71,7,6,11,6,11,64,235029,34,62,36,63,23,64,73,71,54,65,25,71,66,28,67,68,56
5789,60,52,70,56,69,70,40,62,59,32,71,8,11,9,9,12,70,184341,20,80,50,62,11,74,75,63,60,69,13,58,70,18,81,55,62
5790,77,88,78,83,69,63,76,62,72,56,44,6,6,9,11,11,38,124949,70,73,68,63,66,54,64,68,69,84,66,75,74,64,49,54,57
5791,74,74,71,77,68,69,66,60,66,57,50,13,8,12,10,12,57,203798,71,56,69,61,66,53,67,64,72,70,61,67,83,66,69,66,62
5792,83,46,81,82,70,66,63,60,71,43,68,10,6,15,15,7,61,205334,14,64,49,63,14,54,71,65,59,70,15,84,57,16,61,37,64
5793,72,46,82,75,68,68,74,66,67,56,58,12,8,7,16,7,55,214807,70,59,67,58,58,32,73,68,72,49,65,79,91,58,69,61,40
5794,66,82,60,52,62,69,42,29,56,31,27,10,8,14,8,6,64,226583,63,70,60,35,66,35,31,68,63,48,63,78,60,68,82,51,33
5795,61,71,61,48,65,61,48,57,66,47,71,8,6,10,13,14,74,206104,17,57,44,58,21,68,72,65,59,70,19,59,58,31,82,52,68
5796,73,59,71,64,72,65,69,72,70,68,59,10,14,13,16,14,48,189464,59,64,67,63,52,54,62,68,70,61,58,66,75,60,72,67,48
5797,55,56,46,32,64,72,40,44,58,33,68,29,33,27,19,34,77,208153,19,70,35,64,19,72,66,65,63,80,22,64,68,21,92,57,62
5798,54,75,60,57,53,53,39,22,32,27,22,10,16,14,11,15,72,146969,76,71,52,23,70,34,48,62,54,37,67,59,54,66,69,52,43
5799,75,65,61,63,62,63,61,44,57,40,36,6,15,10,15,6,65,213017,65,75,62,39,69,48,33,63,66,42,70,70,72,69,75,33,43
5800,53,73,59,47,58,60,47,35,47,30,23,14,12,6,7,11,63,224537,61,69,46,23,65,45,38,64,57,45,72,53,64,75,85,36,30
5801,76,72,62,62,71,60,72,50,70,37,48,11,14,6,7,13,64,230681,64,55,66,48,62,45,58,68,69,48,68,78,78,68,76,50,36
5802,90,38,92,92,70,63,67,65,72,69,65,16,9,15,13,14,33,189209,47,63,55,44,12,50,64,65,68,66,22,77,66,21,31,70,58
5803,58,31,65,34,20,39,12,16,18,11,20,78,59,55,66,76,12,190745,11,74,20,16,18,16,14,62,22,16,16,61,34,18,60,49,20
5804,50,46,56,58,64,68,47,68,56,53,67,8,13,16,14,14,81,212506,25,88,51,71,23,75,78,69,64,71,27,53,53,25,75,49,65
5805,65,43,70,63,70,68,68,69,67,67,65,14,10,6,8,16,63,155930,45,65,69,67,37,58,66,63,71,69,44,62,57,50,57,68,63
5806,68,77,60,58,67,68,64,63,65,67,70,14,6,13,11,16,64,227866,26,65,58,62,20,60,70,63,63,72,26,68,81,27,82,56,61
5807,62,67,75,74,74,72,71,77,68,74,58,14,15,7,6,13,45,116762,53,30,70,68,41,70,63,63,70,64,48,65,55,55,63,71,72
5808,66,70,57,58,50,68,40,32,32,28,28,7,13,6,8,6,70,183578,68,80,46,29,67,30,30,63,50,54,65,68,45,69,79,46,14
5809,67,80,70,76,65,65,53,29,59,33,50,15,8,11,13,7,52,211227,70,75,63,55,69,48,33,69,65,53,67,72,76,67,59,64,32
