,Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Position
3979,3979,217167,G. Sandoval,22,https://cdn.sofifa.org/players/4/19/217167.png,Mexico,https://cdn.sofifa.org/flags/83.png,71,80,Guadalajara,https://cdn.sofifa.org/teams/2/light/1880.png,€3.6M,€20K,1859,LM|RM
3980,3980,222870,G. Cooper,21,https://cdn.sofifa.org/players/4/19/222870.png,England,https://cdn.sofifa.org/flags/14.png,63,72,Peterborough United,https://cdn.sofifa.org/teams/2/light/1938.png,€575K,€2K,1518,LM|LW|CAM
3981,3981,214942,Héctor,22,https://cdn.sofifa.org/players/4/19/214942.png,Spain,https://cdn.sofifa.org/flags/45.png,67,74,CF Rayo Majadahonda,https://cdn.sofifa.org/teams/2/light/110066.png,€1.1M,€14K,1607,ST|On Loan
3982,3982,226877,Ivo Rodrigues,23,https://cdn.sofifa.org/players/4/19/226877.png,Portugal,https://cdn.sofifa.org/flags/38.png,72,76,Royal Antwerp FC,https://cdn.sofifa.org/teams/2/light/230.png,€4.1M,€9K,1861,RW|LW
3983,3983,220386,Iván Rodríguez,22,https://cdn.sofifa.org/players/4/19/220386.png,Spain,https://cdn.sofifa.org/flags/45.png,69,76,Málaga CF,https://cdn.sofifa.org/teams/2/light/573.png,€1.2M,€4K,1729,RB
3984,3984,216381,J. Zimmer,24,https://cdn.sofifa.org/players/4/19/216381.png,Germany,https://cdn.sofifa.org/flags/21.png,71,76,Fortuna Düsseldorf,https://cdn.sofifa.org/teams/2/light/110636.png,€2.6M,€14K,1903,RB|RM|LM
3985,3985,224146,Jesús Imaz,27,https://cdn.sofifa.org/players/4/19/224146.png,Spain,https://cdn.sofifa.org/flags/45.png,71,71,Jagiellonia Białystok,https://cdn.sofifa.org/teams/2/light/110745.png,€2.5M,€7K,1737,CAM|ST
3986,3986,220944,J. Wildsmith,22,https://cdn.sofifa.org/players/4/19/220944.png,England,https://cdn.sofifa.org/flags/14.png,66,76,Sheffield Wednesday,https://cdn.sofifa.org/teams/2/light/1807.png,€800K,€5K,1131,GK
3987,3987,226203,J. Jones,26,https://cdn.sofifa.org/players/4/19/226203.png,Trinidad & Tobago,https://cdn.sofifa.org/flags/93.png,72,72,Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/111144.png,€3.3M,€7K,1903,LM|LB
3988,3988,221284,J. Gradit,25,https://cdn.sofifa.org/players/4/19/221284.png,France,https://cdn.sofifa.org/flags/18.png,71,74,Stade Malherbe Caen,https://cdn.sofifa.org/teams/2/light/210.png,€2.5M,€13K,1659,CB|RB
3989,3989,228144,Jorge Pombo,24,https://cdn.sofifa.org/players/4/19/228144.png,Spain,https://cdn.sofifa.org/flags/45.png,71,75,Real Zaragoza,https://cdn.sofifa.org/teams/2/light/244.png,€3.1M,€7K,1984,CF|ST
3990,3990,222916,J. Ginnelly,21,https://cdn.sofifa.org/players/4/19/222916.png,England,https://cdn.sofifa.org/flags/14.png,66,74,Preston North End,https://cdn.sofifa.org/teams/2/light/1801.png,€950K,€3K,1752,LM
3991,3991,214313,J. Delgado,25,https://cdn.sofifa.org/players/4/19/214313.png,Chile,https://cdn.sofifa.org/flags/55.png,68,69,CD Tondela,https://cdn.sofifa.org/teams/2/light/112516.png,€1.1M,€4K,1756,RM|LM|On Loan
3992,3992,220287,J. Dinenno,23,https://cdn.sofifa.org/players/4/19/220287.png,Argentina,https://cdn.sofifa.org/flags/52.png,73,78,Deportivo Cali,https://cdn.sofifa.org/teams/2/light/101102.png,€5.5M,€16K,1683,ST|On Loan
3993,3993,222557,J. Glad,21,https://cdn.sofifa.org/players/4/19/222557.png,United States,https://cdn.sofifa.org/flags/95.png,69,77,Real Salt Lake,https://cdn.sofifa.org/teams/2/light/111065.png,€1.3M,€3K,1515,CB
3994,3994,224301,K. Świderski,21,https://cdn.sofifa.org/players/4/19/224301.png,Poland,https://cdn.sofifa.org/flags/37.png,66,76,PAOK,https://cdn.sofifa.org/teams/2/light/393.png,€1.1M,€1K,1627,ST|CAM
3995,3995,222779,L. Choutesiotis,23,https://cdn.sofifa.org/players/4/19/222779.png,Greece,https://cdn.sofifa.org/flags/22.png,69,75,Olympiacos CFP,https://cdn.sofifa.org/teams/2/light/280.png,€1.1M,€1K,1200,GK
3996,3996,216020,L. Gil,27,https://cdn.sofifa.org/players/4/19/216020.png,Argentina,https://cdn.sofifa.org/flags/52.png,73,74,Rosario Central,https://cdn.sofifa.org/teams/2/light/110580.png,€3.8M,€13K,1977,CDM|CM
3997,3997,228415,L. Godoy,23,https://cdn.sofifa.org/players/4/19/228415.png,Argentina,https://cdn.sofifa.org/flags/52.png,69,76,Club Atlético Talleres,https://cdn.sofifa.org/teams/2/light/112670.png,€1.2M,€6K,1738,RB|RWB
3998,3998,213933,L. Wahlqvist,21,https://cdn.sofifa.org/players/4/19/213933.png,Sweden,https://cdn.sofifa.org/flags/46.png,64,71,SG Dynamo Dresden,https://cdn.sofifa.org/teams/2/light/503.png,€650K,€3K,1768,RM|RWB|RB
3999,3999,215270,L. Zelarayán,26,https://cdn.sofifa.org/players/4/19/215270.png,Argentina,https://cdn.sofifa.org/flags/52.png,74,75,Tigres U.A.N.L.,https://cdn.sofifa.org/teams/2/light/1970.png,€6.5M,€43K,1908,CAM|CM
4000,4000,216255,M. Stefaniak,23,https://cdn.sofifa.org/players/4/19/216255.png,Germany,https://cdn.sofifa.org/flags/21.png,68,73,VfL Wolfsburg,https://cdn.sofifa.org/teams/2/light/175.png,€1.2M,€15K,1743,LW|LM
4001,4001,223332,M. Sprocati,24,https://cdn.sofifa.org/players/4/19/223332.png,Italy,https://cdn.sofifa.org/flags/27.png,71,73,Parma,https://cdn.sofifa.org/teams/2/light/50.png,€2.9M,€25K,1616,LW|RW|On Loan
4002,4002,220502,M. Zaccagni,23,https://cdn.sofifa.org/players/4/19/220502.png,Italy,https://cdn.sofifa.org/flags/27.png,70,76,Hellas Verona,https://cdn.sofifa.org/teams/2/light/206.png,€2.4M,€3K,1764,CM
4003,4003,214977,M. Kranevitter,24,https://cdn.sofifa.org/players/4/18/214977.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,82,Zenit St. Petersburg,https://cdn.sofifa.org/teams/2/light/100769.png,€10M,€48K,1896,FIFA 18|CDM|CM
4004,4004,225034,M. Somma,23,https://cdn.sofifa.org/players/4/19/225034.png,Italy,https://cdn.sofifa.org/flags/27.png,68,76,Deportivo de La Coruña,https://cdn.sofifa.org/teams/2/light/242.png,€1.1M,€4K,1567,CB|RB
4005,4005,226249,M. Odjer,21,https://cdn.sofifa.org/players/4/19/226249.png,Ghana,https://cdn.sofifa.org/flags/117.png,66,75,US Salernitana 1919,https://cdn.sofifa.org/teams/2/light/110373.png,€975K,€1K,1814,CM
4006,4006,223573,Munir,29,https://cdn.sofifa.org/players/4/19/223573.png,Morocco,https://cdn.sofifa.org/flags/129.png,74,75,Málaga CF,https://cdn.sofifa.org/teams/2/light/573.png,€4.4M,€8K,1263,GK
4007,4007,221994,Núrio,23,https://cdn.sofifa.org/players/4/19/221994.png,Angola,https://cdn.sofifa.org/flags/98.png,70,75,Sporting de Charleroi,https://cdn.sofifa.org/teams/2/light/670.png,€2M,€7K,1797,LB|LM|LWB
4008,4008,225572,O. Albornoz,22,https://cdn.sofifa.org/players/4/19/225572.png,Colombia,https://cdn.sofifa.org/flags/56.png,67,76,Deportes Tolima,https://cdn.sofifa.org/teams/2/light/111722.png,€1M,€1K,1623,LB|LM|LW
4009,4009,223794,P. Schobesberger,24,https://cdn.sofifa.org/players/4/19/223794.png,Austria,https://cdn.sofifa.org/flags/4.png,70,73,SK Rapid Wien,https://cdn.sofifa.org/teams/2/light/254.png,€2.3M,€9K,1851,LM|RM|CF
4010,4010,220545,R. Ramallo,27,https://cdn.sofifa.org/players/4/19/220545.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,65,,https://cdn.sofifa.org/flags/53.png,€0,€0,1536,ST
4011,4011,226044,R. Vargas,23,https://cdn.sofifa.org/players/4/19/226044.png,Bolivia,https://cdn.sofifa.org/flags/53.png,66,69,,https://cdn.sofifa.org/flags/53.png,€0,€0,1632,ST
4012,4012,214418,S. Ubilla,27,https://cdn.sofifa.org/players/4/19/214418.png,Chile,https://cdn.sofifa.org/flags/55.png,71,71,Universidad de Chile,https://cdn.sofifa.org/teams/2/light/15029.png,€2.5M,€9K,1810,ST|RW
4013,4013,225883,S. Torrizales,26,https://cdn.sofifa.org/players/4/19/225883.png,Paraguay,https://cdn.sofifa.org/flags/58.png,65,66,,https://cdn.sofifa.org/flags/58.png,€0,€0,1701,CM
4014,4014,223271,S. Kurt,21,https://cdn.sofifa.org/players/4/19/223271.png,Germany,https://cdn.sofifa.org/flags/21.png,62,68,Hertha BSC,https://cdn.sofifa.org/teams/2/light/166.png,€425K,€3K,1491,LM|CAM|CF
4015,4015,222256,T. Bishop,21,https://cdn.sofifa.org/players/4/19/222256.png,England,https://cdn.sofifa.org/flags/14.png,66,74,Ipswich Town,https://cdn.sofifa.org/teams/2/light/94.png,€950K,€2K,1742,CM
4016,4016,222583,T. James,22,https://cdn.sofifa.org/players/4/19/222583.png,Wales,https://cdn.sofifa.org/flags/50.png,65,71,Yeovil Town,https://cdn.sofifa.org/teams/2/light/346.png,€625K,€2K,1782,RB|LB
4017,4017,221820,Zhang Xizhe,27,https://cdn.sofifa.org/players/4/19/221820.png,China PR,https://cdn.sofifa.org/flags/155.png,72,72,Beijing Sinobo Guoan FC,https://cdn.sofifa.org/teams/2/light/111768.png,€3.3M,€14K,1852,CAM|LW|LM|CM
4018,4018,224396,Y. Gómez Andrade,26,https://cdn.sofifa.org/players/4/19/224396.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,75,Unión de Santa Fe,https://cdn.sofifa.org/teams/2/light/111716.png,€5.5M,€13K,1392,CB
4019,4019,222204,Cao Yunding,28,https://cdn.sofifa.org/players/4/19/222204.png,China PR,https://cdn.sofifa.org/flags/155.png,72,72,Shanghai Greenland Shenhua FC,https://cdn.sofifa.org/teams/2/light/110955.png,€3.1M,€12K,1810,LM|LW|RM
4020,4020,197233,A. Diallo,26,https://cdn.sofifa.org/players/4/19/197233.png,Senegal,https://cdn.sofifa.org/flags/136.png,71,74,Stade Rennais FC,https://cdn.sofifa.org/teams/2/light/74.png,€2.1M,€14K,1123,GK
4021,4021,198474,Guitián,27,https://cdn.sofifa.org/players/4/19/198474.png,Spain,https://cdn.sofifa.org/flags/45.png,73,74,Real Zaragoza,https://cdn.sofifa.org/teams/2/light/244.png,€3.8M,€8K,1727,CB
4022,4022,204874,A. Katai,27,https://cdn.sofifa.org/players/4/19/204874.png,Serbia,https://cdn.sofifa.org/flags/51.png,75,75,Chicago Fire,https://cdn.sofifa.org/teams/2/light/693.png,€7M,€9K,1919,LM|RM
4023,4023,199779,A. Hoffmann,25,https://cdn.sofifa.org/players/4/19/199779.png,Germany,https://cdn.sofifa.org/flags/21.png,72,76,Fortuna Düsseldorf,https://cdn.sofifa.org/teams/2/light/110636.png,€3.4M,€18K,1584,CB|CDM
4024,4024,199626,André André,28,https://cdn.sofifa.org/players/4/19/199626.png,Portugal,https://cdn.sofifa.org/flags/38.png,77,77,Vitória Guimarães,https://cdn.sofifa.org/teams/2/light/1887.png,€9M,€13K,2079,CM|CDM
4025,4025,199700,Aridai,29,https://cdn.sofifa.org/players/4/19/199700.png,Spain,https://cdn.sofifa.org/flags/45.png,69,69,RCD Mallorca,https://cdn.sofifa.org/teams/2/light/453.png,€1M,€5K,1721,RM|ST|LM
4026,4026,202157,A. Behich,27,https://cdn.sofifa.org/players/4/19/202157.png,Australia,https://cdn.sofifa.org/flags/195.png,73,73,PSV,https://cdn.sofifa.org/teams/2/light/247.png,€3.3M,€12K,1982,LB
4027,4027,198810,B. Wright,25,https://cdn.sofifa.org/players/4/19/198810.png,Australia,https://cdn.sofifa.org/flags/195.png,71,74,Bristol City,https://cdn.sofifa.org/teams/2/light/1919.png,€2.5M,€23K,1645,CB|RB
4028,4028,204367,B. van Leer,26,https://cdn.sofifa.org/players/4/19/204367.png,Netherlands,https://cdn.sofifa.org/flags/34.png,72,74,NAC Breda,https://cdn.sofifa.org/teams/2/light/1904.png,€2.6M,€9K,1172,GK|On Loan
4029,4029,194904,B. Hamid,27,https://cdn.sofifa.org/players/4/19/194904.png,United States,https://cdn.sofifa.org/flags/95.png,74,77,DC United,https://cdn.sofifa.org/teams/2/light/688.png,€4.7M,€15K,1152,GK|On Loan
4030,4030,199286,B. Dja Djédjé,27,https://cdn.sofifa.org/players/4/19/199286.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,69,69,MKE Ankaragücü,https://cdn.sofifa.org/teams/2/light/101007.png,€875K,€9K,1843,RB|CDM
4031,4031,204438,C. Diop,24,https://cdn.sofifa.org/players/4/19/204438.png,Senegal,https://cdn.sofifa.org/flags/136.png,63,65,Montreal Impact,https://cdn.sofifa.org/teams/2/light/111139.png,€325K,€1K,942,GK
4032,4032,197774,C. McAleny,25,https://cdn.sofifa.org/players/4/19/197774.png,England,https://cdn.sofifa.org/flags/14.png,64,65,Kilmarnock,https://cdn.sofifa.org/teams/2/light/82.png,€550K,€3K,1601,ST|RW|LW|On Loan
4033,4033,203672,C. Galano,27,https://cdn.sofifa.org/players/4/19/203672.png,Italy,https://cdn.sofifa.org/flags/27.png,69,69,Foggia,https://cdn.sofifa.org/teams/2/light/110911.png,€1.1M,€20K,1816,ST|RW|On Loan
4034,4034,204226,D. Lezcano,28,https://cdn.sofifa.org/players/4/19/204226.png,Paraguay,https://cdn.sofifa.org/flags/58.png,71,71,FC Ingolstadt 04,https://cdn.sofifa.org/teams/2/light/111239.png,€2.4M,€19K,1942,ST
4035,4035,193554,D. Sakho,28,https://cdn.sofifa.org/players/4/19/193554.png,Senegal,https://cdn.sofifa.org/flags/136.png,74,74,Bursaspor,https://cdn.sofifa.org/teams/2/light/742.png,€6M,€30K,1792,ST|On Loan
4036,4036,204908,D. Ndongala,27,https://cdn.sofifa.org/players/4/19/204908.png,DR Congo,https://cdn.sofifa.org/flags/110.png,73,73,KRC Genk,https://cdn.sofifa.org/teams/2/light/673.png,€4.2M,€15K,1763,RW|RM
4037,4037,203177,D. Foulquier,25,https://cdn.sofifa.org/players/4/19/203177.png,France,https://cdn.sofifa.org/flags/18.png,74,75,Getafe CF,https://cdn.sofifa.org/teams/2/light/1860.png,€6.5M,€41K,1926,RM|RB|On Loan
4038,4038,205163,E. Huws,24,https://cdn.sofifa.org/players/4/19/205163.png,Wales,https://cdn.sofifa.org/flags/50.png,68,73,Ipswich Town,https://cdn.sofifa.org/teams/2/light/94.png,€1.2M,€4K,1803,CM|CDM
4039,4039,208977,F. Al Muwallad,23,https://cdn.sofifa.org/players/4/19/208977.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,72,77,Al Ittihad,https://cdn.sofifa.org/teams/2/light/607.png,€4.2M,€23K,1882,RM|LM|ST
4040,4040,202207,G. Ivanov,30,https://cdn.sofifa.org/players/4/19/202207.png,Bulgaria,https://cdn.sofifa.org/flags/9.png,64,64,,https://cdn.sofifa.org/flags/9.png,€0,€0,1699,CAM|CF|ST|RM
4041,4041,208379,G. González,30,https://cdn.sofifa.org/players/4/19/208379.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,76,76,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,€5.5M,€8K,1698,CB
4042,4042,205295,H. Soudani,30,https://cdn.sofifa.org/players/4/19/205295.png,Algeria,https://cdn.sofifa.org/flags/97.png,75,75,Nottingham Forest,https://cdn.sofifa.org/teams/2/light/14.png,€6.5M,€49K,1906,ST|LM|CAM
4043,4043,208927,H. Sulaimani,41,https://cdn.sofifa.org/players/4/19/208927.png,Saudi Arabia,https://cdn.sofifa.org/flags/183.png,64,64,Al Ahli,https://cdn.sofifa.org/teams/2/light/112387.png,€0,€5K,1851,LB
4044,4044,208022,I. Ezekiel,24,https://cdn.sofifa.org/players/4/19/208022.png,Nigeria,https://cdn.sofifa.org/flags/133.png,68,71,KV Kortrijk,https://cdn.sofifa.org/teams/2/light/100081.png,€1.2M,€6K,1775,ST|RM
4045,4045,208047,Kim In Seong,28,https://cdn.sofifa.org/players/4/19/208047.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,71,71,Ulsan Hyundai FC,https://cdn.sofifa.org/teams/2/light/1473.png,€2.4M,€6K,1680,RM|RW
4046,4046,205586,I. Vassell,24,https://cdn.sofifa.org/players/4/19/205586.png,England,https://cdn.sofifa.org/flags/14.png,65,68,Birmingham City,https://cdn.sofifa.org/teams/2/light/88.png,€700K,€7K,1685,ST
4047,4047,205596,J. Husband,24,https://cdn.sofifa.org/players/4/19/205596.png,England,https://cdn.sofifa.org/flags/14.png,65,70,Fleetwood Town,https://cdn.sofifa.org/teams/2/light/112260.png,€600K,€6K,1709,LB|On Loan
4048,4048,209287,J. Dongou Tsafack,23,https://cdn.sofifa.org/players/4/19/209287.png,Cameroon,https://cdn.sofifa.org/flags/103.png,66,73,CD Lugo,https://cdn.sofifa.org/teams/2/light/110831.png,€925K,€3K,1636,ST
4049,4049,203606,J. Skalák,26,https://cdn.sofifa.org/players/4/19/203606.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,67,67,Millwall,https://cdn.sofifa.org/teams/2/light/97.png,€825K,€5K,1747,LM|RM
4050,4050,195126,J. Marquis,26,https://cdn.sofifa.org/players/4/19/195126.png,England,https://cdn.sofifa.org/flags/14.png,68,69,Doncaster Rovers,https://cdn.sofifa.org/teams/2/light/142.png,€1.1M,€5K,1733,ST
4051,4051,198235,J. Taylor,25,https://cdn.sofifa.org/players/4/19/198235.png,England,https://cdn.sofifa.org/flags/14.png,68,68,Rotherham United,https://cdn.sofifa.org/teams/2/light/1797.png,€975K,€13K,1704,RM|LM
4052,4052,206524,J. Willis,23,https://cdn.sofifa.org/players/4/19/206524.png,England,https://cdn.sofifa.org/flags/14.png,65,72,Coventry City,https://cdn.sofifa.org/teams/2/light/1800.png,€650K,€2K,1532,CB
4053,4053,202678,J. Risdon,25,https://cdn.sofifa.org/players/4/19/202678.png,Australia,https://cdn.sofifa.org/flags/195.png,72,73,Western Sydney Wanderers,https://cdn.sofifa.org/teams/2/light/112427.png,€3M,€7K,1823,RB
4054,4054,203138,J. Scowen,25,https://cdn.sofifa.org/players/4/19/203138.png,England,https://cdn.sofifa.org/flags/14.png,69,72,Queens Park Rangers,https://cdn.sofifa.org/teams/2/light/15.png,€1.1M,€5K,1832,CDM|CM
4055,4055,203627,Joãozinho,28,https://cdn.sofifa.org/players/4/18/203627.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,78,FC Krasnodar,https://cdn.sofifa.org/teams/2/light/112218.png,€10.5M,€47K,2068,FIFA 18|LM|LW|RM|RW
4056,4056,197136,K. Ansarifard,28,https://cdn.sofifa.org/players/4/19/197136.png,Iran,https://cdn.sofifa.org/flags/161.png,74,74,Nottingham Forest,https://cdn.sofifa.org/teams/2/light/14.png,€6M,€47K,1833,ST
4057,4057,193561,K. Leerdam,28,https://cdn.sofifa.org/players/4/19/193561.png,Netherlands,https://cdn.sofifa.org/flags/34.png,70,70,Seattle Sounders FC,https://cdn.sofifa.org/teams/2/light/111144.png,€1.4M,€5K,1900,RB|LB
4058,4058,201215,L. Krejčí,25,https://cdn.sofifa.org/players/4/19/201215.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,74,74,Bologna,https://cdn.sofifa.org/teams/2/light/189.png,€6M,€28K,1967,LW|RW|RM
4059,4059,198133,L. Bacuna,26,https://cdn.sofifa.org/players/4/19/198133.png,Curacao,https://cdn.sofifa.org/flags/85.png,68,69,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,€875K,€16K,2009,CDM|CM|RB
4060,4060,200469,L. Rupp,27,https://cdn.sofifa.org/players/4/19/200469.png,Germany,https://cdn.sofifa.org/flags/21.png,76,76,TSG 1899 Hoffenheim,https://cdn.sofifa.org/teams/2/light/10029.png,€8M,€32K,2003,CM|RM|CDM
4061,4061,209112,M. Rivoredo,26,https://cdn.sofifa.org/players/4/19/209112.png,Paraguay,https://cdn.sofifa.org/flags/58.png,67,67,,https://cdn.sofifa.org/flags/58.png,€0,€0,1790,CM
4062,4062,196916,M. Pack,27,https://cdn.sofifa.org/players/4/19/196916.png,England,https://cdn.sofifa.org/flags/14.png,73,73,Bristol City,https://cdn.sofifa.org/teams/2/light/1919.png,€4.1M,€34K,1928,CM|CDM
4063,4063,204684,M. Seuntjens,26,https://cdn.sofifa.org/players/4/19/204684.png,Netherlands,https://cdn.sofifa.org/flags/34.png,72,73,AZ Alkmaar,https://cdn.sofifa.org/teams/2/light/1906.png,€3.7M,€12K,1958,ST|RW
4064,4064,200667,M. Power,24,https://cdn.sofifa.org/players/4/19/200667.png,England,https://cdn.sofifa.org/flags/14.png,68,73,Sunderland,https://cdn.sofifa.org/teams/2/light/106.png,€1M,€5K,1884,CDM|CM
4065,4065,203043,M. O'Halloran,27,https://cdn.sofifa.org/players/4/19/203043.png,Scotland,https://cdn.sofifa.org/flags/42.png,68,68,St. Johnstone FC,https://cdn.sofifa.org/teams/2/light/100804.png,€950K,€3K,1727,LM|RM|CAM
4066,4066,199601,M. Çağıran,25,https://cdn.sofifa.org/players/4/19/199601.png,Turkey,https://cdn.sofifa.org/flags/48.png,73,75,Çaykur Rizespor,https://cdn.sofifa.org/teams/2/light/101037.png,€4.1M,€11K,2013,CDM|CM
4067,4067,201549,N. Nikolić,30,https://cdn.sofifa.org/players/4/19/201549.png,Hungary,https://cdn.sofifa.org/flags/23.png,73,73,Chicago Fire,https://cdn.sofifa.org/teams/2/light/693.png,€3.9M,€8K,1782,ST
4068,4068,201265,N. Helenius,27,https://cdn.sofifa.org/players/4/19/201265.png,Denmark,https://cdn.sofifa.org/flags/13.png,68,68,Odense Boldklub,https://cdn.sofifa.org/teams/2/light/272.png,€950K,€6K,1622,ST
4069,4069,205559,N. Dicko,26,https://cdn.sofifa.org/players/4/19/205559.png,Mali,https://cdn.sofifa.org/flags/126.png,68,69,Hull City,https://cdn.sofifa.org/teams/2/light/1952.png,€1.1M,€12K,1767,ST
4070,4070,204526,Hervías,25,https://cdn.sofifa.org/players/4/19/204526.png,Spain,https://cdn.sofifa.org/flags/45.png,72,73,Real Valladolid CF,https://cdn.sofifa.org/teams/2/light/462.png,€3.7M,€15K,1779,RM|LM|On Loan
4071,4071,208564,P. Ankersen,27,https://cdn.sofifa.org/players/4/19/208564.png,Denmark,https://cdn.sofifa.org/flags/13.png,73,73,FC København,https://cdn.sofifa.org/teams/2/light/819.png,€3.3M,€16K,1968,RB
4072,4072,198614,Raúl Navas,30,https://cdn.sofifa.org/players/4/19/198614.png,Spain,https://cdn.sofifa.org/flags/45.png,76,76,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png,€5.5M,€24K,1688,CB
4073,4073,200111,R. van Rhijn,27,https://cdn.sofifa.org/players/4/19/200111.png,Netherlands,https://cdn.sofifa.org/flags/34.png,72,72,AZ Alkmaar,https://cdn.sofifa.org/teams/2/light/1906.png,€2.6M,€10K,1982,RB|CB
4074,4074,203348,S. Carruthers,25,https://cdn.sofifa.org/players/4/19/203348.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,66,69,Oxford United,https://cdn.sofifa.org/teams/2/light/1951.png,€800K,€4K,1771,CAM|CDM|On Loan
4075,4075,197981,S. Makienok,27,https://cdn.sofifa.org/players/4/19/197981.png,Denmark,https://cdn.sofifa.org/flags/13.png,67,67,FC Utrecht,https://cdn.sofifa.org/teams/2/light/1903.png,€825K,€7K,1525,ST
4076,4076,202276,S. Zoller,27,https://cdn.sofifa.org/players/4/19/202276.png,Germany,https://cdn.sofifa.org/flags/21.png,72,72,VfL Bochum 1848,https://cdn.sofifa.org/teams/2/light/160.png,€3.3M,€15K,1785,ST|LM|RM
4077,4077,200309,T. Darikwa,26,https://cdn.sofifa.org/players/4/19/200309.png,Zimbabwe,https://cdn.sofifa.org/flags/148.png,71,72,Nottingham Forest,https://cdn.sofifa.org/teams/2/light/14.png,€2.3M,€27K,1814,RB
4078,4078,203741,T. Delaine,26,https://cdn.sofifa.org/players/4/19/203741.png,France,https://cdn.sofifa.org/flags/18.png,72,73,FC Metz,https://cdn.sofifa.org/teams/2/light/68.png,€3M,€6K,1903,LB
4079,4079,208018,T. Lam,24,https://cdn.sofifa.org/players/4/19/208018.png,Finland,https://cdn.sofifa.org/flags/17.png,68,71,PEC Zwolle,https://cdn.sofifa.org/teams/2/light/1914.png,€950K,€4K,1765,CB
4080,4080,162280,A. Mierzejewski,31,https://cdn.sofifa.org/players/4/19/162280.png,Poland,https://cdn.sofifa.org/flags/37.png,76,76,Chongqing Dangdai Lifan FC SWM Team,https://cdn.sofifa.org/teams/2/light/112165.png,€7M,€11K,1985,CAM|CF
4081,4081,162047,Zapater,33,https://cdn.sofifa.org/players/4/19/162047.png,Spain,https://cdn.sofifa.org/flags/45.png,69,69,Real Zaragoza,https://cdn.sofifa.org/teams/2/light/244.png,€625K,€5K,1888,CM
4082,4082,172013,De la Bella,32,https://cdn.sofifa.org/players/4/19/172013.png,Spain,https://cdn.sofifa.org/flags/45.png,74,74,UD Las Palmas,https://cdn.sofifa.org/teams/2/light/472.png,€3.1M,€10K,1872,LB
4083,4083,184436,A. Smithies,28,https://cdn.sofifa.org/players/4/19/184436.png,England,https://cdn.sofifa.org/flags/14.png,73,74,Cardiff City,https://cdn.sofifa.org/teams/2/light/1961.png,€3.2M,€28K,1208,GK
4084,4084,163489,A. Consigli,31,https://cdn.sofifa.org/players/4/19/163489.png,Italy,https://cdn.sofifa.org/flags/27.png,82,82,Sassuolo,https://cdn.sofifa.org/teams/2/light/111974.png,€13.5M,€52K,1180,GK
4085,4085,172723,A. Begović,31,https://cdn.sofifa.org/players/4/19/172723.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,77,77,Bournemouth,https://cdn.sofifa.org/teams/2/light/1943.png,€5.5M,€44K,1222,GK
4086,4086,176915,A. Fernández,32,https://cdn.sofifa.org/players/4/19/176915.png,Argentina,https://cdn.sofifa.org/flags/52.png,79,79,Beijing Renhe FC,https://cdn.sofifa.org/teams/2/light/112537.png,€9.5M,€19K,2049,CM|CDM
4087,4087,183540,B. Bannan,28,https://cdn.sofifa.org/players/4/19/183540.png,Scotland,https://cdn.sofifa.org/flags/42.png,73,73,Sheffield Wednesday,https://cdn.sofifa.org/teams/2/light/1807.png,€4M,€24K,1909,CM|CDM
4088,4088,176949,B. Ruíz,31,https://cdn.sofifa.org/players/4/18/176949.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,76,76,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,€7M,€19K,1909,FIFA 18|LM|CAM|CM|CF
4089,4089,177953,C. Chantôme,30,https://cdn.sofifa.org/players/4/19/177953.png,France,https://cdn.sofifa.org/flags/18.png,68,68,Red Star FC,https://cdn.sofifa.org/teams/2/light/111273.png,€675K,€3K,1880,CDM|CM
4090,4090,147899,C. Moţi,33,https://cdn.sofifa.org/players/4/19/147899.png,Romania,https://cdn.sofifa.org/flags/39.png,69,69,,https://cdn.sofifa.org/flags/39.png,€0,€0,1606,CB
4091,4091,166072,Danilo,34,https://cdn.sofifa.org/players/4/19/166072.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,77,Bologna,https://cdn.sofifa.org/teams/2/light/189.png,€2.7M,€26K,1590,CB|On Loan
